,yrmts,ppt
376,1926feb,4.619999886
377,1926jan,0.860000014
378,1926jul,15.21000004
379,1926jun,13.56000042
380,1926mar,5.980000019
381,1926may,9.619999886
382,1926nov,8.399999619
383,1926oct,10.31999969
384,1926sep,9.619999886
385,1927apr,5.119999886
386,1927aug,13.01000023
387,1927dec,2.380000114
388,1927feb,5.340000153
389,1927jan,4.53000021
390,1927jul,14.64999962
391,1927jun,12.19999981
392,1927mar,3.890000105
393,1927may,7.909999847
394,1927nov,7.25
395,1927oct,8.779999733
396,1927sep,11.22999954
397,1928apr,5.670000076
398,1928aug,12.97000027
399,1928dec,1.519999981
400,1928feb,2.970000029
401,1928jan,3.230000019
402,1928jul,13.88000011
403,1928jun,12.01000023
404,1928mar,6.099999905
405,1928may,10.22000027
406,1928nov,4.710000038
407,1928oct,8.430000305
408,1928sep,11.31999969
409,1929apr,3.180000067
410,1929aug,13.14000034
411,1929dec,5.800000191
412,1929feb,0.550000012
413,1929jan,0.660000026
414,1929jul,14.13000011
415,1929jun,11.96000004
416,1929mar,3.579999924
417,1929may,8.43999958
418,1929nov,3.150000095
419,1929oct,9.329999924
420,1929sep,10.64000034
421,1930apr,6.21999979
422,1930aug,13.21000004
423,1930dec,0.860000014
424,1930feb,4.619999886
425,1930jan,2.579999924
426,1930jul,14.01000023
427,1930jun,11.31000042
428,1930mar,4.389999866
429,1930may,7.199999809
430,1930nov,5.039999962
431,1930oct,8.329999924
432,1930sep,11.42000008
433,1931apr,6.349999905
434,1931aug,13.64000034
435,1931dec,2.170000076
436,1931feb,4.78000021
437,1931jan,2.99000001
438,1931jul,16.05999947
439,1931jun,12.23999977
440,1931mar,4.559999943
441,1931may,11.85999966
442,1931nov,3.460000038
443,1931oct,7.929999828
444,1931sep,10.51000023
445,1932apr,4.010000229
446,1932aug,13.09000015
447,1932dec,-0.449999988
448,1932feb,0.949999988
449,1932jan,1.629999995
450,1932jul,14.05000019
451,1932jun,12.22999954
452,1932mar,4.670000076
453,1932may,9.010000229
454,1932nov,6.059999943
455,1932oct,8.510000229
456,1932sep,12.22999954
457,1933apr,4.699999809
458,1933aug,14.10000038
459,1933dec,3.930000067
460,1933feb,0.340000004
