,yrmts,ppt
484,1936apr,111.5
485,1936aug,0.079999998
486,1936dec,19.13999939
487,1936feb,36.29999924
488,1936jan,27.29999924
489,1936jul,3.5
490,1936jun,37.77000046
491,1936mar,73.59999847
492,1936may,97.36000061
493,1936nov,0.550000012
494,1936oct,9.590000153
495,1936sep,2.25999999
496,1937apr,100.9000015
497,1937aug,0
498,1937dec,26.79999924
499,1937feb,26.07999992
500,1937jan,0
501,1937jul,2.410000086
502,1937jun,30.15999985
503,1937mar,67.59999847
504,1937may,106.7099991
505,1937nov,38.59999847
506,1937oct,37.25
507,1937sep,0.029999999
508,1938apr,103.9000015
509,1938aug,0.02
510,1938dec,26.39999962
511,1938feb,35.70000076
512,1938jan,24.97999954
513,1938jul,0.079999998
514,1938jun,0
515,1938mar,62.5
516,1938may,129.8300018
517,1938nov,32.33000183
518,1938oct,52.20000076
519,1938sep,15.40999985
520,1939apr,87.23000336
521,1939aug,0.379999995
522,1939dec,26.5
523,1939feb,25.22999954
524,1939jan,20.88999939
525,1939jul,0
526,1939jun,0.720000029
527,1939mar,69.5
528,1939may,30.45999908
529,1939nov,7.78000021
530,1939oct,8.970000267
531,1939sep,4.460000038
532,1940apr,109.3000031
533,1940aug,0
534,1940dec,27
535,1940feb,39.5
536,1940jan,26.79999924
537,1940jul,0.219999999
538,1940jun,1.929999948
539,1940mar,72.59999847
540,1940may,137.5800018
541,1940nov,35.79999924
542,1940oct,47.36999893
543,1940sep,11.55000019
544,1941apr,103.3000031
545,1941aug,2.50999999
546,1941dec,25.5
547,1941feb,39.20000076
548,1941jan,27.10000038
549,1941jul,0
550,1941jun,74.73999786
551,1941mar,72.19999695
552,1941may,157.6999969
553,1941nov,38.79999924
554,1941oct,43.15999985
555,1941sep,1.440000057
556,1942apr,99.5
557,1942aug,0.050000001
558,1942dec,25.10000038
559,1942feb,30.87999916
560,1942jan,23.72999954
561,1942jul,0.07
562,1942jun,80.84999847
563,1942mar,57.59999847
564,1942may,141.5
565,1942nov,36.59999847
566,1942oct,22.02000046
567,1942sep,1.190000057
568,1943apr,109.5999985
569,1943aug,0
570,1943dec,26
571,1943feb,37.20999908
572,1943jan,22.52000046
573,1943jul,0.100000001
574,1943jun,4.230000019
575,1943mar,70.69999695
576,1943may,131.8899994
577,1943nov,29.26000023
578,1943oct,20
579,1943sep,0.870000005
580,1944apr,98
581,1944aug,0.079999998
582,1944dec,26.39999962
583,1944feb,32.43000031
584,1944jan,21.54999924
585,1944jul,0
586,1944jun,23.32999992
587,1944mar,71.40000153
588,1944may,157
589,1944nov,35.20000076
590,1944oct,53.52000046
591,1944sep,0.660000026
592,1945apr,110.5
593,1945aug,0
594,1945dec,24.79999924
595,1945feb,39
596,1945jan,22.25
597,1945jul,0
598,1945jun,0.600000024
599,1945mar,53.20999908
600,1945may,113.1600037
601,1945nov,36.79999924
602,1945oct,83.5
603,1945sep,0.219999999
604,1946apr,107.5999985
605,1946aug,0
606,1946dec,25.10000038
607,1946feb,24.45000076
608,1946jan,20.62999916
609,1946jul,6.329999924
610,1946jun,0.01
611,1946mar,65.59999847
612,1946may,71.09999847
613,1946nov,34.79999924
614,1946oct,7.989999771
615,1946sep,3.380000114
616,1947apr,114.5999985
617,1947aug,0.850000024
618,1947dec,20.19000053
619,1947feb,38.29000092
620,1947jan,15.31000042
621,1947jul,0
622,1947jun,42.09999847
623,1947mar,72.80000305
624,1947may,86.86000061
625,1947nov,35
626,1947oct,77.30000305
627,1947sep,0
628,1948apr,89.19999695
629,1948aug,0.479999989
630,1948dec,14.93999958
631,1948feb,25.95999908
632,1948jan,24.37000084
633,1948jul,0.039999999
634,1948jun,84.98000336
635,1948mar,50.63999939
636,1948may,139.3999939
637,1948nov,31.95000076
638,1948oct,23.17000008
639,1948sep,5.119999886
640,1949apr,115.5
641,1949aug,2.069999933
642,1949dec,17.67000008
643,1949feb,22.90999985
644,1949jan,0
645,1949jul,2.329999924
646,1949jun,0.400000006
647,1949mar,64.19999695
648,1949may,76.91999817
649,1949nov,41.09999847
650,1949oct,1.159999967
651,1949sep,1.230000019
652,1950apr,110.5
653,1950aug,0
654,1950dec,27.10000038
655,1950feb,32.86000061
656,1950jan,12.51000023
657,1950jul,0
658,1950jun,1.24000001
659,1950mar,61.13000107
660,1950may,120.6600037
661,1950nov,41.09999847
662,1950oct,78.30000305
663,1950sep,3.279999971
664,1951apr,110
665,1951aug,0.209999993
666,1951dec,23.87999916
667,1951feb,33.68999863
668,1951jan,23.10000038
669,1951jul,0
670,1951jun,0
671,1951mar,62.15999985
672,1951may,115.2300034
673,1951nov,37.09999847
674,1951oct,67.12000275
675,1951sep,0.419999987
676,1952apr,108.4000015
677,1952aug,0
678,1952dec,23.79999924
679,1952feb,33.27999878
680,1952jan,16.42000008
681,1952jul,1.440000057
682,1952jun,34.63000107
683,1952mar,55.02999878
684,1952may,97.80000305
685,1952nov,36
686,1952oct,2.309999943
687,1952sep,0.469999999
688,1953apr,102.4000015
689,1953aug,10.32999992
690,1953dec,27.10000038
691,1953feb,37.65999985
692,1953jan,27.79999924
693,1953jul,0
694,1953jun,44.13000107
695,1953mar,61.65999985
696,1953may,136.5
697,1953nov,37.40000153
698,1953oct,27.23999977
699,1953sep,0
700,1954apr,113.9000015
701,1954aug,42.11999893
702,1954dec,18.73999977
703,1954feb,41.20000076
704,1954jan,20.90999985
705,1954jul,1.769999981
706,1954jun,12.47000027
707,1954mar,56.90000153
708,1954may,133.5
709,1954nov,37
710,1954oct,11.09000015
711,1954sep,1.100000024
712,1955apr,80.54000092
713,1955aug,0
714,1955dec,26.39999962
715,1955feb,23.62000084
716,1955jan,12.75
717,1955jul,0
718,1955jun,0.5
719,1955mar,56.81999969
720,1955may,132.0299988
721,1955nov,35.40000153
722,1955oct,8.909999847
723,1955sep,13.39000034
724,1956apr,104.5999985
725,1956aug,0
726,1956dec,6.039999962
727,1956feb,21.39999962
728,1956jan,23.12999916
729,1956jul,1.620000005
730,1956jun,2.559999943
731,1956mar,59.90000153
732,1956may,94.63999939
733,1956nov,3.210000038
734,1956oct,71.36000061
735,1956sep,5.820000172
736,1957apr,108.9000015
737,1957aug,0
738,1957dec,25.10000038
739,1957feb,37.90000153
740,1957jan,12.60000038
741,1957jul,0.059999999
742,1957jun,54.91999817
743,1957mar,66.69999695
744,1957may,148.3000031
745,1957nov,35.90000153
746,1957oct,71.19999695
747,1957sep,85.08000183
748,1958apr,105
749,1958aug,0.769999981
750,1958dec,29.5
751,1958feb,39.09999847
752,1958jan,24.61000061
753,1958jul,7.570000172
754,1958jun,61.06000137
755,1958mar,49.86999893
756,1958may,161.6000061
757,1958nov,9.149999619
758,1958oct,4.019999981
759,1958sep,0.579999983
760,1959apr,119.9000015
761,1959aug,0.109999999
762,1959dec,24.67000008
763,1959feb,28.65999985
764,1959jan,26.20000076
765,1959jul,0
766,1959jun,0
767,1959mar,74.80000305
