Site/Project: McLaughlin 80 sites,,,,,,,,,,,
Experiment: Temporal stability,,,,,,,,,,,
Date: Data collected 2009-2010,,,,,,,,,,,
Data description: Trait values,,,,,,,,,,,
Protocols: Traits were collected and measured following the methods of Cornelissen et al. 2003,,,,,,,,,,,
CVS file & path,,,,,,,,,,,
Names of data takers: Harrison Lab,,,,,,,,,,,
"Column info: species, ecotype, height, specific leaf area, leaf area, wet weight, dry weight, leaf water content, carbon:nitrogen, nitrogen, carbon, and functional group",,,,,,,,,,,
"Definitions & Abbreviations: For species and ecotype: s=serpentine, n=non-serpentine, sla = specific leaf area, wgt=weight, lwc = leaf water content, CN  = carbon to nitrogen, N=nitrogen, C = carbon, fnc_grp = functional group",,,,,,,,,,,
species,ecotype,height,sla,area,wet_wgt,dry_wgt,lwc,CN,N,C,fnc_grp
rigiopappus_leptocladus_n,n,6.4,201.4018692,2.155,0.0445,0.0107,0.759550562,20.29591837,1.96,39.78,annual forb
rigiopappus_leptocladus_s,s,16.3,136.2566845,2.548,0.067,0.0187,0.720895522,30.67407407,1.35,41.41,annual forb
salvia_columbariae_n,n,14.4,123.7583001,93.19,4.5767,0.753,0.835470973,23.84615385,1.82,43.4,annual forb
sanicula_bipinnata_n,n,35.8,198.7762973,56.691,1.558,0.2852,0.816944801,17.3487395,2.38,41.29,perennial forb
sanicula_bipinnatifida_n,n,11.9,144.7086303,300.473,12.0819,2.0764,0.828139614,17.14107884,2.41,41.31,perennial forb
sanicula_bipinnatifida_s,s,11,169.6224589,157.698,4.6291,0.9297,0.799161824,15.55769231,2.6,40.45,perennial forb
sanicula_crassicaulis_n,n,136.6,294.9257806,518.568,13.1732,1.7583,0.866524459,19.09,2,38.18,perennial forb
sanicula_crassicaulis_s,s,15.35,217.8162942,123.785,3.4075,0.5683,0.833220836,20.46560847,1.89,38.68,perennial forb
scutellaria_siphoncampyloides_s,s,20.4,220.1470588,14.97,0.323,0.068,0.789473684,31.12676056,1.42,44.2,perennial forb
senecio_eurycephalus_s,s,38.95,93.93038,46.279,2.00715,0.5192,0.741324764,28.11320755,1.59,44.7,annual forb
senecio_vulgaris_n,n,21.15,164.2224409,16.685,0.7342,0.1016,0.861618088,24.00641026,1.56,37.45,annual forb
senecio_vulgaris_s,s,31.2,184.7390841,34.694,1.2906,0.1878,0.854486285,17.43555556,2.25,39.23,annual forb
