Site/Project: McLaughlin 80 sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment: Temporal stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: Data collected 2009-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data description: Community weighted mean trait values,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocols: Community weighted mean trait values were calculated using the FD package in R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS file & path,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Names of data takers: Harrison Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Column info: year, site, quadrat, functional richness, functional eveness, functional divergence, functional dispersion, Raup Crick, CWM height, CWM specific leaf area, CWM, leaf area, CWM wet weight, CWM dry weight, CWM leaf water content, CWM, carbon to nitrogen, CWM nitrogen",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Definitions & Abbreviations: Fric=functional richness, Feve=functional evenness, Fdiv=functional divergence, Fdis=functional dispersion, RauQ=Raup Crick, CWM=community weighted mean, sla=specific leaf area, area=leaf area, lwc=leaf water content, CN=carbon to nitrogen, N=nitrogen, ag=with annual grasses, noag=no annual grasses",,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,site,quad,Fric_ag,Feve_ag,Fdiv_ag,Fdis_ag,RaoQ_ag,CWM.height_ag,CWM.sla_ag,CWM.area_ag,CWM.wet_wgt_ag,CWM.dry_wgt_ag,CWM.lwc_ag,CWM.CN_ag,CWM.N_ag,Fric_noag,Feve_noag,Fdivnoag,Fdis_noag,RaoQ_noag,CWM.height_noag,CWM.sla_noag,CWM.area_noag,CWM.wet_wgt_noag,CWM.dry_wgt_noag,CWM.lwc_noag,CWM.CN_noag,CWM.N_noag
2006,5,2,0.23418845,0.462080453,0.905008729,3.488787192,16.09370011,87.6618161,126.9043362,83.56392008,2.715165986,0.727840673,0.675407314,32.35638364,1.703856891,0.152559645,0.528517472,0.88121605,4.0682866,18.072216,118.7493805,121.8850656,122.7177443,4.043090312,1.071197316,0.689744271,24.0088099,2.093405403
2006,5,3,0.097687233,0.421063365,0.820508032,1.429108494,3.807842429,61.82945193,201.7884846,56.49128765,1.087979096,0.251800209,0.690956543,39.11982994,1.265421927,0.051077614,0.497134464,0.808542689,1.740461245,3.271495806,47.88177408,254.3870842,160.0462106,3.684963277,0.570307593,0.829053511,16.47278897,2.736202513
2006,5,4,0.225419663,0.514500283,0.705479115,2.461427801,9.239652314,70.8137312,226.8077742,112.6908342,2.658569029,0.544691481,0.738135923,30.72494161,1.851046515,0.11496453,0.654282216,0.827328911,2.923685045,11.91231471,77.56731021,249.4487506,201.9353836,5.121002636,0.971238578,0.820699718,16.78716805,2.783432215
2006,5,5,0.180643177,0.296679887,0.62984969,1.882228284,5.068029868,41.06441096,228.8164462,71.06918042,1.855598624,0.326592984,0.753784372,28.85667528,1.984310794,0.105178932,0.287403851,0.757808676,1.726774434,3.0888042,33.61658315,235.3523722,124.8088062,3.461979067,0.574977879,0.8265522,19.38028395,2.476080404
2006,6,1,0.061714482,0.432099516,0.779091979,1.899381535,4.644235763,24.14044963,162.0504037,18.98480586,0.578703571,0.149615627,0.601293839,30.48771131,1.454351364,0.064889455,0.436640418,0.794275732,2.368338792,6.29431089,24.06804145,155.9084967,22.96680531,0.715367004,0.183243684,0.5957634,28.85195528,1.552628848
2006,6,2,0.049334465,0.416887188,0.943800761,1.333289716,2.235608752,45.28918131,141.5664308,19.60599881,0.518636462,0.232908601,0.555535522,45.87505611,1.014383407,0.035299018,0.42950649,0.975580723,0.677367018,1.242626772,44.78708889,83.36938297,30.08637137,0.831291415,0.374689384,0.524860561,34.37923873,1.256489708
2006,6,3,0.04784244,0.225248467,0.975062648,1.828382906,3.637593617,40.17765269,140.9215516,37.75330206,1.166420778,0.325300448,0.655021362,29.74114693,1.63816143,0.042669613,0.179720873,0.931483789,2.033331301,4.30733646,40.40008055,135.03687,40.51997273,1.25839628,0.350406484,0.658636606,27.83176596,1.706920582
2006,6,4,0.062353037,0.307736724,0.820516422,1.80007326,3.621378393,25.56463963,181.5540561,17.90368138,0.502971166,0.150909297,0.695241264,27.90793317,1.730425725,0.063174442,0.284147064,0.817476308,1.985973318,4.310902452,23.87172433,185.5519275,21.45777494,0.614629667,0.181823564,0.716584517,23.06205114,1.966252881
2006,6,5,0.199504972,0.533682557,0.919895365,2.418898412,9.473721843,52.26667571,172.1112629,37.51516685,1.182407087,0.318400234,0.659813496,34.26446542,1.678823968,0.162795978,0.555335821,0.86714977,3.423781314,14.77587724,77.13390478,147.2840698,75.95075763,2.486856996,0.658919535,0.707838346,21.58998004,2.557570269
2006,7,1,0.048104838,0.414585879,0.974687114,1.246878487,2.806556191,43.57645426,232.3773024,16.12230911,0.370980622,0.093075411,0.673850593,56.65098258,0.85591933,0.036336408,0.478263488,0.854070414,1.441608143,2.608767689,20.57645688,199.1664747,29.87265949,1.347706291,0.274435428,0.752075702,19.05340186,2.356950613
