"Species_Name","SAI_Index1","SAI_Index2","SAI","SAI_RelAb"
"Torilis arvensis",31.7931034482759,11.8698710433763,21.8314872458261,55.4101557142819
"Tragopogon dubius",NA,NA,NA,0
"Trichostema laxum",0,NA,NA,0
"Trifolium albopurpureum",39.8026315789474,53.1009879253567,46.4518097521521,76.7038697161027
"Trifolium bifidum",41.3970588235294,50.2009236490134,45.7989912362714,71.0167141359827
"Trifolium ciliolatum",NA,66.1764705882353,NA,72.1836380136167
"Trifolium depauperatum",50,87.2093023255814,68.6046511627907,95.3010218021168
"Trifolium dubium",75,89.5244016164128,82.2622008082064,91.6398376514303
"Trifolium fucatum",52.3923444976077,35.1538824163243,43.773113456966,48.569161804639
"Trifolium gracilentum",51.743679163034,61.6864968458037,56.7150880044189,74.2025163033295
"Trifolium hirtum",42.1754385964912,36.5908651678155,39.3831518821534,54.6597324762749
"Trifolium microcephalum",83.3333333333333,68.9081225033289,76.1207279183311,80.6353023106639
"Trifolium microdon",55.7142857142857,61.440211407179,58.5772485607324,79.8077566995992
"Trifolium variegatum",NA,NA,NA,0
"Trifolium willdenovii",29.1666666666667,60.4026845637584,44.7846756152125,72.332527420113
"Triphysaria eriantha",0,NA,NA,0
"Triteleia hyacinthina",0,NA,NA,0
"Triteleia laxa",0,NA,NA,0
"Uropappus lindleyi",NA,NA,NA,0
"Velezia rigida",41.6666666666667,74.3005656627427,57.9836161647047,48.6486733561806
"Vicia villosa",34.012539184953,13.0392452305339,23.5258922077434,32.4826773864131
"Viola douglasii",20,7.83289817232376,13.9164490861619,17.7581772563329
"Vulpia microstachys",52.8276955602537,65.7111090652862,59.26940231277,75.1593495836275
"Vulpia myuros",73.8075657894737,75.1037077531595,74.4556367713166,72.956132294081
"Wyethia glabra",0,NA,NA,0
"Zigadenus fremontii",0,NA,NA,0
