"ID","calFullname","jepFullname","Family","genus","species","suffix","SerpScore","StrongEndemic","Tolerators","WeakEndemic","Name"
1611,"Cirsium occidentale (Nutt.) Jepson var. compactum Hoover","Cirsium occidentale (Nutt.) Jeps. var. compactum Hoover","ASTERACEAE","Cirsium","occidentale","var. compactum",0.00,0.00,0.00,0.00,"Cirsium occidentale var. compactum"
1612,"Cirsium occidentale (Nutt.) Jepson var. occidentale","Cirsium occidentale (Nutt.) Jeps. var. occidentale","ASTERACEAE","Cirsium","occidentale","var. occidentale",0.00,0.00,0.00,0.00,"Cirsium occidentale var. occidentale"
1613,"Cirsium occidentale (Nutt.) Jepson var. venustum (E. Greene) Jepson","Cirsium occidentale (Nutt.) Jeps. var. venustum (Greene) Jeps.","ASTERACEAE","Cirsium","occidentale","var. venustum",0.00,0.00,0.00,0.00,"Cirsium occidentale var. venustum"
1614,"Cirsium quercetorum (A. Gray) Jepson","Cirsium quercetorum (A. Gray) Jeps.","ASTERACEAE","Cirsium","quercetorum",,0.00,0.00,0.00,0.00,"Cirsium quercetorum "
1615,"Cirsium rhothophilum S.F. Blake","Cirsium rhothophilum S. F. Blake","ASTERACEAE","Cirsium","rhothophilum",,0.00,0.00,0.00,0.00,"Cirsium rhothophilum "
1616,"Cirsium undulatum (Nutt.) Spreng.","Cirsium undulatum (Nutt.) Spreng.","ASTERACEAE","Cirsium","undulatum",,0.00,0.00,0.00,0.00,"Cirsium undulatum "
1617,"Cirsium vulgare (Savi) Ten.","Cirsium vulgare (Savi) Ten.","ASTERACEAE","Cirsium","vulgare",,0.00,0.00,0.00,0.00,"Cirsium vulgare "
1618,"Cnicus benedictus L.","Cnicus benedictus L.","ASTERACEAE","Cnicus","benedictus",,0.00,0.00,0.00,0.00,"Cnicus benedictus "
1619,"Eriophyllum nevinii A. Gray","Constancea nevinii (A. Gray) B. G. Baldwin","ASTERACEAE","Constancea","nevinii",,0.00,0.00,0.00,0.00,"Constancea nevinii "
1620,"Conyza bonariensis (L.) Cronq.","Conyza bonariensis (L.) Cronquist","ASTERACEAE","Conyza","bonariensis",,0.00,0.00,0.00,0.00,"Conyza bonariensis "
1621,"Coreopsis bigelovii (A. Gray) H.M. Hall","Coreopsis bigelovii (A. Gray) H. M. Hall","ASTERACEAE","Coreopsis","bigelovii",,0.00,0.00,0.00,0.00,"Coreopsis bigelovii "
1622,"Coreopsis californica (Nutt.) H. Sharsm. var. californica","Coreopsis californica (Nutt.) H. Sharsm. var. californica","ASTERACEAE","Coreopsis","californica","var. californica",0.00,0.00,0.00,0.00,"Coreopsis californica var. californica"
1623,"Coreopsis calliopsidea (DC.) A. Gray","Coreopsis calliopsidea (DC.) A. Gray","ASTERACEAE","Coreopsis","calliopsidea",,0.00,0.00,0.00,0.00,"Coreopsis calliopsidea "
1624,"Coreopsis gigantea (Kellogg) H.M. Hall","Coreopsis gigantea (Kellogg) H. M. Hall","ASTERACEAE","Coreopsis","gigantea",,0.00,0.00,0.00,0.00,"Coreopsis gigantea "
1625,"Coreopsis hamiltonii (Elmer) H.K. Sharsm.","Coreopsis hamiltonii (Elmer) H. Sharsm.","ASTERACEAE","Coreopsis","hamiltonii",,0.00,0.00,0.00,0.00,"Coreopsis hamiltonii "
1626,"Coreopsis tinctoria Nutt.","Coreopsis tinctoria Nutt.","ASTERACEAE","Coreopsis","tinctoria",,0.00,0.00,0.00,0.00,"Coreopsis tinctoria "
1627,"Lessingia filaginifolia (Hook. & Arn.) M.A. Lane","Corethrogyne filaginifolia (Hook. & Arn.) Nutt.","ASTERACEAE","Corethrogyne","filaginifolia",,0.00,0.00,0.00,0.00,"Corethrogyne filaginifolia "
1628,"Cotula coronopifolia L.","Cotula coronopifolia L.","ASTERACEAE","Cotula","coronopifolia",,0.00,0.00,0.00,0.00,"Cotula coronopifolia "
1629,"Crepis acuminata Nutt.","Crepis acuminata Nutt.","ASTERACEAE","Crepis","acuminata",,0.00,0.00,0.00,0.00,"Crepis acuminata "
1630,"Crepis bakeri E. Greene","Crepis bakeri Greene","ASTERACEAE","Crepis","bakeri",,0.00,0.00,0.00,0.00,"Crepis bakeri "
1631,"Crepis bursifolia L.","Crepis bursifolia L.","ASTERACEAE","Crepis","bursifolia",,0.00,0.00,0.00,0.00,"Crepis bursifolia "
1632,"Crepis modocensis E. Greene","Crepis modocensis Greene","ASTERACEAE","Crepis","modocensis",,0.00,0.00,0.00,0.00,"Crepis modocensis "
1633,"Crepis monticola Cov.","Crepis monticola Coville","ASTERACEAE","Crepis","monticola",,0.00,0.00,0.00,0.00,"Crepis monticola "
1634,"Crepis setosa Haller f.","Crepis setosa Haller f.","ASTERACEAE","Crepis","setosa",,0.00,0.00,0.00,0.00,"Crepis setosa "
1635,"Crepis vesicaria L. ssp. taraxacifolia (Thuill.) Thell.","Crepis vesicaria L. subsp. taraxacifolia (Thuill.) Thell.","ASTERACEAE","Crepis","vesicaria","ssp. taraxacifolia",0.00,0.00,0.00,0.00,"Crepis vesicaria ssp. taraxacifolia"
1636,"Hemizonia clementina Brandegee","Deinandra clementina (Brandegee) B. G. Baldwin","ASTERACEAE","Deinandra","clementina",,0.00,0.00,0.00,0.00,"Deinandra clementina "
1637,"Hemizonia corymbosa (DC.) Torrey & A. Gray","Deinandra corymbosa (DC.) B. G. Baldwin","ASTERACEAE","Deinandra","corymbosa",,0.00,0.00,0.00,0.00,"Deinandra corymbosa "
1638,"Hemizonia fasciculata (DC.) Torrey & A. Gray","Deinandra fasciculata (DC.) Greene","ASTERACEAE","Deinandra","fasciculata",,0.00,0.00,0.00,0.00,"Deinandra fasciculata "
1639,"Hemizonia increscens (Keck) B.D. Tanowitz","Deinandra increscens (H. M. Hall ex D. D. Keck) B. G. Baldwin","ASTERACEAE","Deinandra","increscens",,0.00,0.00,0.00,0.00,"Deinandra increscens "
1640,"Hemizonia kelloggii E. Greene","Deinandra kelloggii (Greene) Greene","ASTERACEAE","Deinandra","kelloggii",,0.00,0.00,0.00,0.00,"Deinandra kelloggii "
1641,"Hemizonia pentactis (Keck) Keck","Deinandra pentactis (D. D. Keck) B. G. Baldwin","ASTERACEAE","Deinandra","pentactis",,0.00,0.00,0.00,0.00,"Deinandra pentactis "
1642,"Dimorphotheca sinuata DC.","Dimorphotheca sinuata DC.","ASTERACEAE","Dimorphotheca","sinuata",,0.00,0.00,0.00,0.00,"Dimorphotheca sinuata "
1643,"Eastwoodia elegans Brandegee","Eastwoodia elegans Brandegee","ASTERACEAE","Eastwoodia","elegans",,0.00,0.00,0.00,0.00,"Eastwoodia elegans "
1644,"Eclipta prostrata (L.) L.","Eclipta prostrata (L.) L.","ASTERACEAE","Eclipta","prostrata",,0.00,0.00,0.00,0.00,"Eclipta prostrata "
1645,"Encelia californica Nutt.","Encelia californica Nutt.","ASTERACEAE","Encelia","californica",,0.00,0.00,0.00,0.00,"Encelia californica "
1646,"Encelia farinosa Torrey & A. Gray","Encelia farinosa","ASTERACEAE","Encelia","farinosa",,0.00,0.00,0.00,0.00,"Encelia farinosa "
1647,"Erechtites glomerata (Poiret) DC.","Erechtites glomerata (Poir.) DC.","ASTERACEAE","Erechtites","glomerata",,0.00,0.00,0.00,0.00,"Erechtites glomerata "
1648,"Erechtites hieracifolia (L.) DC. var. hieracifolia","Erechtites hieraciifolia (L.) DC. var. hieraciifolia","ASTERACEAE","Erechtites","hieraciifolia","var. hieraciifolia",0.00,0.00,0.00,0.00,"Erechtites hieraciifolia var. hieraciifolia"
1649,"Erechtites minima (Poiret) DC.","Erechtites minima (Poir.) DC.","ASTERACEAE","Erechtites","minima",,0.00,0.00,0.00,0.00,"Erechtites minima "
1650,"Ericameria bloomeri (A. Gray) J.F. Macbr.","Ericameria bloomeri (A. Gray) J. F. Macbr.","ASTERACEAE","Ericameria","bloomeri",,0.00,0.00,0.00,0.00,"Ericameria bloomeri "
1651,"Ericameria cuneata (A. Gray) McClatchie","Ericameria cuneata (A. Gray) McClatchie","ASTERACEAE","Ericameria","cuneata",,0.00,0.00,0.00,0.00,"Ericameria cuneata "
1652,"Ericameria cuneata (A. Gray) McClatchie var. cuneata","Ericameria cuneata (A. Gray) McClatchie var. cuneata","ASTERACEAE","Ericameria","cuneata","var. cuneata",0.00,0.00,0.00,0.00,"Ericameria cuneata var. cuneata"
1653,"Ericameria cuneata (A. Gray) McClatchie var. spathulata (Gray) Hall","Ericameria cuneata (A. Gray) McClatchie var. spathulata (A. Gray) H. M. Hall","ASTERACEAE","Ericameria","cuneata","var. spathulata",0.00,0.00,0.00,0.00,"Ericameria cuneata var. spathulata"
1654,"Ericameria discoidea (Nutt.) G. Nesom","Ericameria discoidea (Nutt.) G. L. Nesom","ASTERACEAE","Ericameria","discoidea",,0.00,0.00,0.00,0.00,"Ericameria discoidea "
1655,"Ericameria ericoides (Less.) Jepson","Ericameria ericoides (Less.) Jeps.","ASTERACEAE","Ericameria","ericoides",,0.00,0.00,0.00,0.00,"Ericameria ericoides "
1656,"Ericameria fasciculata (Eastw.) J.F. Macbr.","Ericameria fasciculata (Eastw.) J. F. Macbr.","ASTERACEAE","Ericameria","fasciculata",,0.00,0.00,0.00,0.00,"Ericameria fasciculata "
1657,"Ericameria palmeri (A. Gray) H.M. Hall var. pachylepis (H.M. Hall) G. Nesom","Ericameria palmeri (A. Gray) H. M. Hall var. pachylepis (H. M. Hall) G. L. Nesom","ASTERACEAE","Ericameria","palmeri","var. pachylepis",0.00,0.00,0.00,0.00,"Ericameria palmeri var. pachylepis"
1658,"Ericameria palmeri (A. Gray) H.M. Hall","Ericameria palmeri (A. Gray) H. M. Hall","ASTERACEAE","Ericameria","palmeri",,0.00,0.00,0.00,0.00,"Ericameria palmeri "
1659,"Ericameria parishii (E. Greene) H.M. Hall var. parishii","Ericameria parishii (Greene) H. M. Hall var. parishii","ASTERACEAE","Ericameria","parishii","var. parishii",0.00,0.00,0.00,0.00,"Ericameria parishii var. parishii"
1660,"Ericameria suffruticosa (Nutt.) G. Nesom","Ericameria suffruticosa (Nutt.) G. L. Nesom","ASTERACEAE","Ericameria","suffruticosa",,0.00,0.00,0.00,0.00,"Ericameria suffruticosa "
1661,"Trimorpha acris (L.) S.F. Gray var. debilis (A. Gray) G. Nesom","Erigeron acris L. var. debilis A. Gray","ASTERACEAE","Erigeron","acris","var. debilis",0.00,0.00,0.00,0.00,"Erigeron acris var. debilis"
1662,"Erigeron aliceae Howell","Erigeron aliceae Howell","ASTERACEAE","Erigeron","aliceae",,0.00,0.00,0.00,0.00,"Erigeron aliceae "
1663,"Erigeron annuus (L.) Pers.","Erigeron annuus (L.) Pers.","ASTERACEAE","Erigeron","annuus",,0.00,0.00,0.00,0.00,"Erigeron annuus "
1664,"Erigeron barbellulatus E. Greene","Erigeron barbellulatus Greene","ASTERACEAE","Erigeron","barbellulatus",,0.00,0.00,0.00,0.00,"Erigeron barbellulatus "
1665,"Erigeron biolettii E. Greene","Erigeron biolettii Greene","ASTERACEAE","Erigeron","biolettii",,0.00,0.00,0.00,0.00,"Erigeron biolettii "
1666,"Erigeron blochmaniae E. Greene","Erigeron blochmaniae Greene","ASTERACEAE","Erigeron","blochmaniae",,0.00,0.00,0.00,0.00,"Erigeron blochmaniae "
1667,"Erigeron bloomeri A. Gray","Erigeron bloomeri A. Gray","ASTERACEAE","Erigeron","bloomeri",,0.00,0.00,0.00,0.00,"Erigeron bloomeri "
1668,"Erigeron bloomeri A. Gray var. bloomeri","Erigeron bloomeri A. Gray var. bloomeri","ASTERACEAE","Erigeron","bloomeri","var. bloomeri",0.00,0.00,0.00,0.00,"Erigeron bloomeri var. bloomeri"
1669,"Erigeron breweri A. Gray","Erigeron breweri A. Gray","ASTERACEAE","Erigeron","breweri",,0.00,0.00,0.00,0.00,"Erigeron breweri "
1670,"Erigeron breweri A. Gray var. klamathensis G. Nesom","Erigeron breweri A. Gray var. klamathensis G. L. Nesom","ASTERACEAE","Erigeron","breweri","var. klamathensis",0.00,0.00,0.00,0.00,"Erigeron breweri var. klamathensis"
1671,"Erigeron coulteri Porter","Erigeron coulteri Porter","ASTERACEAE","Erigeron","coulteri",,0.00,0.00,0.00,0.00,"Erigeron coulteri "
1672,"Erigeron divergens Torrey & A. Gray","Erigeron divergens Torr. & A. Gray","ASTERACEAE","Erigeron","divergens",,0.00,0.00,0.00,0.00,"Erigeron divergens "
1673,"Erigeron eatonii A. Gray var. plantagineus (E. Greene) Cronq.","Erigeron eatonii A. Gray var. plantagineus (Greene) Cronquist","ASTERACEAE","Erigeron","eatonii","var. plantagineus",0.00,0.00,0.00,0.00,"Erigeron eatonii var. plantagineus"
1674,"Erigeron foliosus Nutt. var. foliosus","Erigeron foliosus Nutt. var. foliosus","ASTERACEAE","Erigeron","foliosus","var. foliosus",0.00,0.00,0.00,0.00,"Erigeron foliosus var. foliosus"
1675,"Erigeron foliosus Nutt. var. franciscensis G. Nesom","Erigeron foliosus Nutt. var. franciscensis G. L. Nesom","ASTERACEAE","Erigeron","foliosus","var. franciscensis",0.00,0.00,0.00,0.00,"Erigeron foliosus var. franciscensis"
1676,"Erigeron foliosus Nutt. var. mendocinus E. Greene","Erigeron foliosus Nutt. var. mendocinus Greene","ASTERACEAE","Erigeron","foliosus","var. mendocinus",0.00,0.00,0.00,0.00,"Erigeron foliosus var. mendocinus"
1677,"Erigeron inornatus A. Gray var. inornatus","Erigeron inornatus A. Gray var. inornatus","ASTERACEAE","Erigeron","inornatus","var. inornatus",0.00,0.00,0.00,0.00,"Erigeron inornatus var. inornatus"
1678,"Erigeron inornatus A. Gray var. calidipetris G. Nesom","Erigeron inornatus A. Gray var. calidipetris G. L. Nesom","ASTERACEAE","Erigeron","inornatus","var. calidipetris",0.00,0.00,0.00,0.00,"Erigeron inornatus var. calidipetris"
1679,"Erigeron inornatus A. Gray var. keilii G. Nesom","Erigeron inornatus A. Gray var. keilii G. L. Nesom","ASTERACEAE","Erigeron","inornatus","var. keilii",0.00,0.00,0.00,0.00,"Erigeron inornatus var. keilii"
1680,"Erigeron karvinskianus DC.","Erigeron karvinskianus DC.","ASTERACEAE","Erigeron","karvinskianus",,0.00,0.00,0.00,0.00,"Erigeron karvinskianus "
1681,"Erigeron lassenianus E. Greene var. lassenianus","Erigeron lassenianus Greene var. lassenianus","ASTERACEAE","Erigeron","lassenianus","var. lassenianus",0.00,0.00,0.00,0.00,"Erigeron lassenianus var. lassenianus"
1682,"Erigeron lassenianus E. Greene","Erigeron lassenianus Greene","ASTERACEAE","Erigeron","lassenianus",,0.00,0.00,0.00,0.00,"Erigeron lassenianus "
1683,"Erigeron linearis (Hook.) Piper","Erigeron linearis (Hook.) Piper","ASTERACEAE","Erigeron","linearis",,0.00,0.00,0.00,0.00,"Erigeron linearis "
1684,"Trimorpha lonchophylla (Hook.) G. Nesom","Erigeron lonchophyllus Hook.","ASTERACEAE","Erigeron","lonchophyllus",,0.00,0.00,0.00,0.00,"Erigeron lonchophyllus "
1685,"Erigeron mariposanus Congdon","Erigeron mariposanus Congdon","ASTERACEAE","Erigeron","mariposanus",,0.00,0.00,0.00,0.00,"Erigeron mariposanus "
1686,"Erigeron miser A. Gray","Erigeron miser A. Gray","ASTERACEAE","Erigeron","miser",,0.00,0.00,0.00,0.00,"Erigeron miser "
1687,"Erigeron peregrinus (Pursh) E. Greene var. callianthemus (E. Greene) Cronq.","Erigeron peregrinus (Pursh) Greene var. callianthemus (Greene) Cronquist","ASTERACEAE","Erigeron","peregrinus","var. callianthemus",0.00,0.00,0.00,0.00,"Erigeron peregrinus var. callianthemus"
1688,"Erigeron peregrinus (Pursh) E. Greene","Erigeron peregrinus (Pursh) Greene","ASTERACEAE","Erigeron","peregrinus",,0.00,0.00,0.00,0.00,"Erigeron peregrinus "
1689,"Erigeron petrophilus E. Greene var. petrophilus","Erigeron petrophilus Greene var. petrophilus","ASTERACEAE","Erigeron","petrophilus","var. petrophilus",0.00,0.00,0.00,0.00,"Erigeron petrophilus var. petrophilus"
1690,"Erigeron philadelphicus L.","Erigeron philadelphicus L.","ASTERACEAE","Erigeron","philadelphicus",,0.00,0.00,0.00,0.00,"Erigeron philadelphicus "
1691,"Erigeron pumilus Nutt. var. intermedius Cronq.","Erigeron pumilus Nutt. var. intermedius Cronquist","ASTERACEAE","Erigeron","pumilus","var. intermedius",0.00,0.00,0.00,0.00,"Erigeron pumilus var. intermedius"
1692,"Erigeron reductus (Cronq.) G. Nesom var. angustatus (A. Gray) G. Nesom","Erigeron reductus (Cronquist) G. L. Nesom var. angustatus (A. Gray) G. L. Nesom","ASTERACEAE","Erigeron","reductus","var. angustatus",0.00,0.00,0.00,0.00,"Erigeron reductus var. angustatus"
1693,"Erigeron reductus (Cronq.) G. Nesom var. reductus","Erigeron reductus (Cronquist) G. L. Nesom var. reductus","ASTERACEAE","Erigeron","reductus","var. reductus",0.00,0.00,0.00,0.00,"Erigeron reductus var. reductus"
1694,"Erigeron sanctarum S. Watson","Erigeron sanctarum S. Watson","ASTERACEAE","Erigeron","sanctarum",,0.00,0.00,0.00,0.00,"Erigeron sanctarum "
1695,"Erigeron strigosus Willd.","Erigeron strigosus Willd.","ASTERACEAE","Erigeron","strigosus",,0.00,0.00,0.00,0.00,"Erigeron strigosus "
1696,"Erigeron tener A. Gray","Erigeron tener A. Gray","ASTERACEAE","Erigeron","tener",,0.00,0.00,0.00,0.00,"Erigeron tener "
1697,"Eriophyllum ambiguum (A. Gray) A. Gray","Eriophyllum ambiguum (A. Gray) A. Gray","ASTERACEAE","Eriophyllum","ambiguum",,0.00,0.00,0.00,0.00,"Eriophyllum ambiguum "
1698,"Eriophyllum ambiguum (A. Gray) A. Gray var. ambiguum","Eriophyllum ambiguum (A. Gray) A. Gray var. ambiguum","ASTERACEAE","Eriophyllum","ambiguum","var. ambiguum",0.00,0.00,0.00,0.00,"Eriophyllum ambiguum var. ambiguum"
1699,"Eriophyllum ambiguum (A. Gray) A. Gray var. paleaceum (Brandegee) Ferris","Eriophyllum ambiguum (A. Gray) A. Gray var. paleaceum (Brandegee) Ferris","ASTERACEAE","Eriophyllum","ambiguum","var. paleaceum",0.00,0.00,0.00,0.00,"Eriophyllum ambiguum var. paleaceum"
1700,"Eriophyllum confertiflorum (DC.) A. Gray var. confertiflorum","Eriophyllum confertiflorum (DC.) A. Gray var. confertiflorum","ASTERACEAE","Eriophyllum","confertiflorum","var. confertiflorum",0.00,0.00,0.00,0.00,"Eriophyllum confertiflorum var. confertiflorum"
1701,"Eriophyllum congdonii Brandegee","Eriophyllum congdonii Brandegee","ASTERACEAE","Eriophyllum","congdonii",,0.00,0.00,0.00,0.00,"Eriophyllum congdonii "
1702,"Eriophyllum lanatum (Pursh) James Forbes var. arachnoideum (Fischer & Ave-Lall.) Jeps.","Eriophyllum lanatum (Pursh) J. Forbes var. arachnoideum (Fisch. & Av<#e9>-Lall.) Jeps.","ASTERACEAE","Eriophyllum","lanatum","var. arachnoideum",0.00,0.00,0.00,0.00,"Eriophyllum lanatum var. arachnoideum"
1703,"Eriophyllum lanatum (Pursh) James Forbes var. croceum (E. Greene) Jepson","Eriophyllum lanatum (Pursh) J. Forbes var. croceum (Greene) Jeps.","ASTERACEAE","Eriophyllum","lanatum","var. croceum",0.00,0.00,0.00,0.00,"Eriophyllum lanatum var. croceum"
1704,"Eriophyllum lanatum (Pursh) James Forbes var. grandiflorum (A. Gray) Jepson","Eriophyllum lanatum (Pursh) J. Forbes var. grandiflorum (A. Gray) Jeps.","ASTERACEAE","Eriophyllum","lanatum","var. grandiflorum",0.00,0.00,0.00,0.00,"Eriophyllum lanatum var. grandiflorum"
1705,"Eriophyllum lanatum (Pursh) James Forbes var. hallii Constance","Eriophyllum lanatum (Pursh) J. Forbes var. hallii Constance","ASTERACEAE","Eriophyllum","lanatum","var. hallii",0.00,0.00,0.00,0.00,"Eriophyllum lanatum var. hallii"
1706,"Eriophyllum lanatum (Pursh) James Forbes var. integrifolium (Hook.) F.J. Smiley","Eriophyllum lanatum (Pursh) J. Forbes var. integrifolium (Hook.) Smiley","ASTERACEAE","Eriophyllum","lanatum","var. integrifolium",0.00,0.00,0.00,0.00,"Eriophyllum lanatum var. integrifolium"
1707,"Eriophyllum multicaule (DC.) A. Gray","Eriophyllum multicaule (DC.) A. Gray","ASTERACEAE","Eriophyllum","multicaule",,0.00,0.00,0.00,0.00,"Eriophyllum multicaule "
1708,"Aster breweri (A. Gray) Semple","Eucephalus breweri (A. Gray) G. L. Nesom","ASTERACEAE","Eucephalus","breweri",,0.00,0.00,0.00,0.00,"Eucephalus breweri "
1709,"Aster engelmannii (Eaton) A. Gray","Eucephalus engelmannii (D. C. Eaton) Greene","ASTERACEAE","Eucephalus","engelmannii",,0.00,0.00,0.00,0.00,"Eucephalus engelmannii "
1710,"Aster integrifolius Nutt.","Eurybia integrifolia (Nutt.) G. L. Nesom","ASTERACEAE","Eurybia","integrifolia",,0.00,0.00,0.00,0.00,"Eurybia integrifolia "
1711,"Aster radulinus A. Gray","Eurybia radulina (A. Gray) G. L. Nesom","ASTERACEAE","Eurybia","radulina",,0.00,0.00,0.00,0.00,"Eurybia radulina "
1712,"Euthamia occidentalis Nutt.","Euthamia occidentalis Nutt.","ASTERACEAE","Euthamia","occidentalis",,0.00,0.00,0.00,0.00,"Euthamia occidentalis "
1713,"Filago arizonica A. Gray","Filago arizonica A. Gray","ASTERACEAE","Filago","arizonica",,0.00,0.00,0.00,0.00,"Filago arizonica "
1714,"Filago depressa A. Gray","Filago depressa A. Gray","ASTERACEAE","Filago","depressa",,0.00,0.00,0.00,0.00,"Filago depressa "
1715,"Gaillardia aristata Pursh","Gaillardia aristata Pursh","ASTERACEAE","Gaillardia","aristata",,0.00,0.00,0.00,0.00,"Gaillardia aristata "
1716,"Galinsoga parviflora Cav. var. parviflora","Galinsoga parviflora Cav. var. parviflora","ASTERACEAE","Galinsoga","parviflora","var. parviflora",0.00,0.00,0.00,0.00,"Galinsoga parviflora var. parviflora"
1717,"Galinsoga quadriradiata Ruiz Lopez & Pavon","Galinsoga quadriradiata Ruiz & Pav.","ASTERACEAE","Galinsoga","quadriradiata",,0.00,0.00,0.00,0.00,"Galinsoga quadriradiata "
1718,"Gnaphalium canescens DC. ssp. beneolens (Davidson) Stebb.","Gnaphalium canescens DC. subsp. beneolens (Davidson) Stebbins & D. J. Keil","ASTERACEAE","Gnaphalium","canescens","ssp. beneolens",0.00,0.00,0.00,0.00,"Gnaphalium canescens ssp. beneolens"
1719,"Gnaphalium canescens DC. ssp. microcephalum (Nutt.) Stebb. & Keil","Gnaphalium canescens DC. subsp. microcephalum (Nutt.) Stebbins & D. J. Keil","ASTERACEAE","Gnaphalium","canescens","ssp. microcephalum",0.00,0.00,0.00,0.00,"Gnaphalium canescens ssp. microcephalum"
1720,"Gnaphalium canescens DC. ssp. thermale (E. Nelson) Stebb. & Keil","Gnaphalium canescens DC. subsp. thermale (E. E. Nelson) Stebbins & D. J. Keil","ASTERACEAE","Gnaphalium","canescens","ssp. thermale",0.00,0.00,0.00,0.00,"Gnaphalium canescens ssp. thermale"
1721,"Gnaphalium luteo-album L.","Gnaphalium luteo-album L.","ASTERACEAE","Gnaphalium","luteo-album",,0.00,0.00,0.00,0.00,"Gnaphalium luteo-album "
1722,"Gnaphalium palustre Nutt.","Gnaphalium palustre Nutt.","ASTERACEAE","Gnaphalium","palustre",,0.00,0.00,0.00,0.00,"Gnaphalium palustre "
1723,"Gnaphalium purpureum L.","Gnaphalium purpureum L.","ASTERACEAE","Gnaphalium","purpureum",,0.00,0.00,0.00,0.00,"Gnaphalium purpureum "
1724,"Gnaphalium ramosissimum Nutt.","Gnaphalium ramosissimum Nutt.","ASTERACEAE","Gnaphalium","ramosissimum",,0.00,0.00,0.00,0.00,"Gnaphalium ramosissimum "
1725,"Gnaphalium stramineum Kunth","Gnaphalium stramineum Kunth","ASTERACEAE","Gnaphalium","stramineum",,0.00,0.00,0.00,0.00,"Gnaphalium stramineum "
1726,"Grindelia camporum E. Greene var. camporum","Grindelia camporum Greene var. camporum","ASTERACEAE","Grindelia","camporum","var. camporum",0.00,0.00,0.00,0.00,"Grindelia camporum var. camporum"
1727,"Grindelia camporum E. Greene var. bracteosum (J. Howell) M.A. Lane","Grindelia camporum Greene var. bracteosa (J. T. Howell) M. A. Lane","ASTERACEAE","Grindelia","camporum","var. bracteosa",0.00,0.00,0.00,0.00,"Grindelia camporum var. bracteosa"
1728,"Grindelia hirsutula Hook. & Arn.","Grindelia hirsutula Hook. & Arn.","ASTERACEAE","Grindelia","hirsutula",,0.00,0.00,0.00,0.00,"Grindelia hirsutula "
1729,"Grindelia stricta DC.","Grindelia stricta DC.","ASTERACEAE","Grindelia","stricta",,0.00,0.00,0.00,0.00,"Grindelia stricta "
1730,"Grindelia stricta DC. var. angustifolia (A. Gray) M.A. Lane","Grindelia stricta DC. var. angustifolia (A. Gray) M. A. Lane","ASTERACEAE","Grindelia","stricta","var. angustifolia",0.00,0.00,0.00,0.00,"Grindelia stricta var. angustifolia"
1731,"Grindelia stricta DC. var. platyphylla (E. Greene) M.A. Lane","Grindelia stricta DC. var. platyphylla (Greene) M. A. Lane","ASTERACEAE","Grindelia","stricta","var. platyphylla",0.00,0.00,0.00,0.00,"Grindelia stricta var. platyphylla"
1732,"Gutierrezia microcephala (DC.) A. Gray","Gutierrezia microcephala (DC.) A. Gray","ASTERACEAE","Gutierrezia","microcephala",,0.00,0.00,0.00,0.00,"Gutierrezia microcephala "
1733,"Madia nutans (E. Greene) Keck","Harmonia nutans (Greene) B. G. Baldwin","ASTERACEAE","Harmonia","nutans",,0.00,0.00,0.00,0.00,"Harmonia nutans "
1734,"Hazardia cana (A. Gray) E. Greene","Hazardia cana (A. Gray) Greene","ASTERACEAE","Hazardia","cana",,0.00,0.00,0.00,0.00,"Hazardia cana "
1735,"Hazardia squarrosa (Hook. & Arn.) E. Greene var. grindelioides (DC.) W. Clark","Hazardia squarrosa (Hook. & Arn.) Greene var. grindelioides (DC.) W. D. Clark","ASTERACEAE","Hazardia","squarrosa","var. grindelioides",0.00,0.00,0.00,0.00,"Hazardia squarrosa var. grindelioides"
1736,"Hazardia squarrosa (Hook. & Arn.) E. Greene var. squarrosa","Hazardia squarrosa (Hook. & Arn.) Greene var. squarrosa","ASTERACEAE","Hazardia","squarrosa","var. squarrosa",0.00,0.00,0.00,0.00,"Hazardia squarrosa var. squarrosa"
1737,"Helenium amarum (Raf.) Rock","Helenium amarum (Raf.) H. Rock","ASTERACEAE","Helenium","amarum",,0.00,0.00,0.00,0.00,"Helenium amarum "
1738,"Helenium autumnale L.","Helenium autumnale L.","ASTERACEAE","Helenium","autumnale",,0.00,0.00,0.00,0.00,"Helenium autumnale "
1739,"Helenium autumnale L. var. grandiflorum (Nutt.) Torrey & A. Gray","Helenium autumnale L. var. grandiflorum (Nutt.) Torr. & A. Gray","ASTERACEAE","Helenium","autumnale","var. grandiflorum",0.00,0.00,0.00,0.00,"Helenium autumnale var. grandiflorum"
1740,"Helenium puberulum DC.","Helenium puberulum DC.","ASTERACEAE","Helenium","puberulum",,0.00,0.00,0.00,0.00,"Helenium puberulum "
1741,"Helianthella californica A. Gray var. californica","Helianthella californica A. Gray var. californica","ASTERACEAE","Helianthella","californica","var. californica",0.00,0.00,0.00,0.00,"Helianthella californica var. californica"
1742,"Helianthella californica A. Gray var. nevadensis (E. Greene) Jepson","Helianthella californica A. Gray var. nevadensis (Greene) Jeps.","ASTERACEAE","Helianthella","californica","var. nevadensis",0.00,0.00,0.00,0.00,"Helianthella californica var. nevadensis"
