"Site*L","Site","Sample_ID","Date_Analysis","Organic_Matter","ENR","Bray P","Olsen P","pH","K","Mg","Ca","Ca_Mg","Na","H","CEC","K_PCT","MG_PCT","CA_PCT","H_PCT","NA_PCT","NO3_N","S","Zinc","Manganese","Iron","Copper","Boron","Cobalt","Nickel","Sol__Salts","SAND","SILT","CLAY","TEXTURE"
"56*L",56,"SH056","""9/19/01""",5.10,133.00,6.80,4.20,6.40,172.70,533.30,1306.00,2.44,14.20,1.10,12.50,3.50,35.00,52.00,9.00,0.50,2.30,0.00,3.20,52.00,17.10,0.80,0.40,0.43,4.49,0.10,42.80,34.00,23.20,"LOAM"
"57*L",57,"SH057","""9/19/01""",3.20,94.00,4.00,2.20,6.50,172.30,688.40,1318.00,1.91,20.80,1.00,13.80,3.20,41.00,47.60,7.50,0.70,2.30,0.00,3.30,28.20,13.40,1.20,0.20,0.34,2.24,0.10,36.80,40.00,23.20,"LOAM"
"58*L",58,"SH058","""9/19/01""",4.30,117.00,10.70,8.10,6.40,251.00,1276.00,1898.00,1.48,14.90,2.00,22.70,2.80,46.20,41.70,9.00,0.30,2.30,0.00,2.60,14.10,15.90,1.80,0.30,0.31,2.49,0.20,28.00,33.30,38.70,"CLAY LOAM"
"59*L",59,"SH059","""9/19/01""",4.50,119.00,8.60,4.00,6.40,227.10,759.00,1320.00,1.73,16.60,1.30,14.80,3.90,42.10,44.50,9.00,0.50,2.30,0.00,3.50,28.90,19.30,1.20,0.30,0.56,3.68,0.30,40.80,40.00,19.20,"LOAM"
"60*L",60,"SH060","""9/19/01""",3.90,107.00,4.80,10.50,6.10,135.40,731.10,1393.00,1.90,14.20,2.20,15.50,2.20,38.70,44.70,14.00,0.40,2.30,0.00,1.70,31.20,24.00,1.10,0.10,0.29,2.81,0.10,50.80,30.00,19.20,"LOAM"
"61*L",61,"SH061","""9/19/01""",3.50,101.00,10.50,6.50,5.80,253.20,1102.00,1828.00,1.65,22.70,4.40,23.40,2.80,38.80,39.00,19.00,0.40,3.40,0.00,2.10,20.90,32.20,3.70,0.40,0.46,1.70,0.20,26.80,30.00,43.20,"CLAY"
"62*L",62,"SH062","""9/19/01""",3.10,91.00,8.20,4.20,5.90,241.10,671.40,2289.00,3.40,18.70,3.60,21.30,2.90,26.00,53.70,17.00,0.40,2.30,0.00,1.70,22.20,38.60,2.30,0.40,0.27,1.51,0.10,40.80,26.00,33.20,"CLAY LOAM"
"63*L",63,"SH063","""9/19/01""",4.20,115.00,4.20,12.50,6.10,138.80,1168.00,1478.00,1.26,23.30,2.80,20.30,1.80,47.40,36.40,14.00,0.50,2.30,0.00,1.70,18.30,32.30,2.40,0.40,0.28,2.44,0.20,46.80,30.00,23.20,"LOAM"
"64*L",64,"SH064","""9/19/01""",3.50,101.00,6.90,10.90,6.10,298.00,970.00,2918.00,3.00,15.30,3.80,27.20,2.80,29.40,53.60,14.00,0.20,2.70,0.00,1.90,16.40,30.30,3.70,0.50,0.22,1.69,0.40,26.80,28.00,45.20,"CLAY"
"65*L",65,"SH065","""9/19/01""",6.30,156.00,18.20,18.30,5.80,448.50,1029.00,1555.00,1.51,17.70,4.10,21.50,5.30,39.30,36.00,19.00,0.40,3.00,0.00,3.40,17.40,100.00,2.60,1.10,0.36,3.21,0.20,36.80,26.00,37.20,"CLAY LOAM"
"66*L",66,"SH066","""9/19/01""",4.80,125.00,12.10,12.20,5.90,355.30,764.00,1985.00,2.59,16.00,3.50,20.70,4.40,30.40,47.90,17.00,0.30,2.40,0.00,3.30,20.10,83.90,2.50,0.60,0.34,3.11,0.20,36.80,30.00,33.20,"CLAY LOAM"
