id,seed_mass_g
Acacia_elongata,7.11
Acacia_elongata,9.3
Acacia_empelioclada,4.52
Acacia_enterocarpa,5.53
Acacia_eremophila,3.07
Acacia_erinacea,5.47
Acacia_erioloba,313.7
Acacia_eriopoda,6.52
Acacia_errabunda,9.85
Acacia_estrophiolata,54.694
Acacia_etbaica,27.74
Acacia_etbaica,47.62
Acacia_etbaica,56.99
Acacia_euthycarpa,18.9
Acacia_excelsa,27.5
Acacia_extensa,12.5
Acacia_exuvialis,30.45
Acacia_falcata,13.6
Acacia_falciformis,42.8
Acacia_farinosa,8.65
Acacia_farnesiana,72.5
Acacia_filicifolia,13.8
Acacia_filifolia,3.55
Acacia_fimbriata,17
Acacia_flabellifolia,8.57
Acacia_flavescens,30.31
Acacia_fleckii,101.73
Acacia_flexifolia,7.18
Acacia_flocktoniae,4.976
Acacia_floribunda,8
Acacia_floydii,30.24
Acacia_fragilis,2.76
Acacia_frigescens,14.7
Acacia_galeata,71.2
Acacia_galpinii,277.89
Acacia_gaumeri,29.75
Acacia_genistifolia,29.95
Acacia_gentlei,56.5
Acacia_georginae,58.509
Acacia_gerrardii,46.35
Acacia_gerrardii,74.25
Acacia_gillii,17.75
Acacia_gladiiformis,25.91
Acacia_glandulicarpa,9.18
Acacia_glauca,7.69
Acacia_glaucescens,6.1532
Acacia_glaucissima,3.83
Acacia_glaucocarpa,20.2
Acacia_glomerosa,184.78
Acacia_gnidium,6.85
Acacia_gonoclada,4.84
Acacia_gordonii,13.49
Acacia_gourmaensis,77.46
Acacia_gracilifolia,21.61
Acacia_graffiana,30.03
Acacia_grandicornuta,78.89
Acacia_granitica,10.31
Acacia_greggii,120.3
Acacia_grisea,2.84
Acacia_gummifera,308.45
Acacia_gunnii,13.25
Acacia_haematoxylon,126.81
Acacia_hakeoides,22.7
Acacia_hamersleyensis,16.11
Acacia_hamiltoniana,15.73
Acacia_hammondii,6.27
Acacia_hamulosa,75.04
Acacia_harpophylla,50.42
Acacia_harveyi,12.02
Acacia_havilandii,5.61
Acacia_havilandiorum,6.1
Acacia_hebeclada,119.05
Acacia_hebeclada,128.73
Acacia_hebeclada,162.33
Acacia_hebeclada,179.93
Acacia_hemignosta,40.25
Acacia_hemiteles,22.1
Acacia_hemsleyi,16.75
Acacia_hereroensis,30.79
Acacia_heterochroa,8.46
Acacia_heteroclita,8.59
Acacia_hilliana,6.06
Acacia_hindsii,38.5
